Ano,Mês,Data,Mês_Nome,Log_Total_Previsto,Total_Previsto_R$,Log_Clientes_Projetado,Clientes_Projetado,Intervalo_Confiança_95%
2025,10,01/10/2025,October/2025,13.21967931883898,551104.275983662,5.771346903804631,320.9697570213102,±3.2565
2025,11,01/11/2025,November/2025,13.289548926951674,590986.7798108573,5.786993900289242,326.0314666872872,±3.2565
2025,12,01/12/2025,December/2025,13.725133696002626,913586.8242642932,5.802683318153657,331.1870488900375,±3.2565
2026,1,01/01/2026,January/2026,13.277181366843088,583722.7271820547,5.81841527240867,336.43846762507764,±3.2565
2026,2,01/02/2026,February/2026,13.425022157861612,676726.2805887728,5.8341898783768835,341.7877322304459,±3.2565
2026,3,01/03/2026,March/2026,13.299709018863556,597021.8664142663,5.850007251693559,347.23689852518504,±3.2565
2026,4,01/04/2026,April/2026,13.320309204147176,609448.1802235299,5.8658675083074625,352.7880699785916,±3.2565
2026,5,01/05/2026,May/2026,13.381498232226022,647904.2695376957,5.881770764481715,358.44339891111906,±3.2565
2026,6,01/06/2026,June/2026,13.403557620676416,662355.447562373,5.897717136794644,364.20508772785035,±3.2565
2026,7,01/07/2026,July/2026,13.387442513189391,651767.063946685,5.913706742140636,370.07539018548107,±3.2565
2026,8,01/08/2026,August/2026,13.452829370008573,695808.2301857941,5.929739697731003,376.0566126937934,±3.2565
2026,9,01/09/2026,September/2026,13.418452212704738,672294.7992737837,5.945816121094827,382.1511156526063,±3.2565
